Not Found,No Permalink Found,http://id.ndl.go.jp/bib/000009181793,Judaica - Verified,Bible Speaking to Pagan Romans: Read Genesis,978-4-87698-846-4,異教徒ローマ人に語る聖書 : 創世記を読む,秦剛平 著,学術選書 ; 046,京都大学学術出版会,2009,2009.12,337p ; 19cm,,,図書,HP18 193.211,HP18-J53,10642064,,,,978-4-87698-846-4,ユダヤ1601-1700,,Green,,,1,1,http://id.ndl.go.jp/bib/000009181793
Not Found,No Permalink Found,http://id.ndl.go.jp/bib/000008604845,Judaica - Verified,"Bin Laden's Islam, Judaism, and Christianity",4-7966-2762-6,ビンラディンのイスラム教とユダヤ教、キリスト教,神辺四郎 著,宝島社新書,宝島社,2002,2002.6,261p ; 18cm,,,図書,HP12 190.4,HP12-H4,3572367,,,,4-7966-2762-6,ユダヤ201-300,,Green,,,1,1,http://id.ndl.go.jp/bib/000008604845
Not Found,No Permalink Found,http://id.ndl.go.jp/bib/026914697,Judaica - Verified,Iran Pappe Talks Palestine: From 'Ethnic Cleansing' to 'Bridging Narratives',978-4-8068-0583-0,イラン・パペ、パレスチナを語る : 「民族浄化」から「橋渡しのナラティヴ」へ,"イラン・パペ 語り , ミーダーン〈パレスチナ・対話のための広場〉 編訳",,柘植書房新社,2008,2008.4,290p ; 20cm,,,図書,GE761 227.9,GE761-J14,9366083,,,,978-4-8068-0583-0,イスラエル 801-900,,Green,,,1,1,http://id.ndl.go.jp/bib/026914697
Not Found,No Permalink Found,http://id.ndl.go.jp/bib/026909511,Judaica - Verified,"Can Judaism, Christianity and Islam Coexist?",978-4-7503-2903-1,ユダヤ教・キリスト教・イスラームは共存できるか : 一神教世界の現在,森孝一 編,明石ライブラリー ; 124,明石書店,2008,2008.12,372p ; 20cm,,,図書,"HR11 , HP11 , HR41 199",HR11-J2,9989936,,,,978-4-7503-2903-1,ユダヤ801-900,,Green,,,1,2,http://id.ndl.go.jp/bib/026909511
Not Found,No Permalink Found,http://id.ndl.go.jp/bib/000009568830,Judaica - Verified,From the Holocaust to Gaza: The Political Economy of Palestine,978-4-7917-6512-6,ホロコーストからガザへ : パレスチナの政治経済学,"サラ・ロイ 著 , 岡真理, 小田切拓, 早尾貴紀 編訳",,青土社,2009,2009.11,281p ; 20cm,,,図書,GE761 312.279,GE761-J28,10622956,,,,978-4-7917-6512-6,イスラエル 801-900,,Green,,,1,2,http://id.ndl.go.jp/bib/000009568830
Not Found,No Permalink Found,http://id.ndl.go.jp/bib/000009108029,Judaica - Verified,"Carter Talks Palestine: Peace, Not Apartheid",978-4-7949-6717-6,カーター、パレスチナを語る : アパルトヘイトではなく平和を,"ジミー・カーター 著 , 北丸雄二, 中野真紀子 訳",,晶文社,2008,2008.6,266p 図版3p ; 20cm,,,図書,GE761 312.279,GE761-J9,9381483,,,,978-4-7949-6717-6,イスラエル 801-900,,Green,,,1,2,http://id.ndl.go.jp/bib/000009108029
Not Found,No Permalink Found,http://id.ndl.go.jp/bib/000003635078,Judaica - Verified,Chagall: Why I Became a Painter,4-89013-890-0,シャガール : わたしが画家になったわけ,"ビンバ・ランドマン 文・絵 , 白崎容子 訳",,西村書店,2006,2006.4,1冊 (ページ付なし) ; 32cm,,,図書,Y3 723.35,Y3-N06-H52,8159500,,,,4-89013-890-0,ユダヤ1401-1500,,,,,1,1,http://id.ndl.go.jp/bib/000003635078
Not Found,No Permalink Found,http://id.ndl.go.jp/bib/000003082312,Judaica - Verified,Thoughts of Hebrews and Greeks,4-400-30751-4,ヘブライ人とギリシヤ人の思惟,"トーレイフ・ボーマン 著 , 植田重雄 訳",,新教出版社,2003,2003.12,"414, 22p ; 21cm",,,図書,HB181 131,HB181-H10,9108861,,,,4-400-30751-4,ヘブライ1-100,,,,,1,1,http://id.ndl.go.jp/bib/000003082312
Not Found,No Permalink Found,http://id.ndl.go.jp/bib/000004360482,Judaica - Verified,German Women's 'Sincerity': Silent protests in Berlin-Rosenstrasse under the Nazi regime,4-7634-0457-1,ドイツ人女性たちの<誠実> : ナチ体制下ベルリン・ローゼンシュトラーセの静かなる抗議,幸津國生 著,,花伝社,2005,2005.12,"227, 6p ; 20cm",,,図書,GG427 234.074,GG427-H13,8051824,,,,4-7634-0457-1,反ユダヤ主義1-94,,,,,1,1,http://id.ndl.go.jp/bib/000004360482
Not Found,No Permalink Found,http://id.ndl.go.jp/bib/026816930,Judaica - Verified,"Holy Land Trip : Rome, Egypt, Israel, Jordan",4-7974-5360-5,聖地旅行 : ローマ・エジプト・イスラエル・ヨルダン,山田みち子 著,,新風舎,2004,2004.12,53p ; 20cm,,,図書,GG511 293.09,GG511-H16,7559325,,,,4-7974-5360-5,イスラエル 101-200,,,,,1,1,http://id.ndl.go.jp/bib/026816930
